year,all-fuel,coal,natural-gas,nuclear,conventional-hydroelectric,wind,all-solar,combined-renewables
2001,3736644,1903956,639129,768826,216961,6737,0,223698
2002,3858452,1933130,691006,780064,264329,10354,0,274683
2003,3883185,1973737,649908,763733,275806,11187,0,286993
2004,3970555,1978301,710100,788528,268417,14144,0,282561
2005,4055423,2012873,760960,781986,270321,17811,0,288132
2006,4064702,1990511,816441,787219,289246,26589,0,315835
2007,4156745,2016456,896590,806425,247510,34450,0,281960
2008,4119388,1985801,882981,806208,254831,55363,0,310194
2009,3950331,1755904,920979,798855,273445,73886,0,347331
2010,4125060,1847290,987697,806968,260203,94652,0,354855
2011,4100141,1733430,1013689,790204,319355,120177,0,439532
2012,4047765,1514043,1225894,769331,276240,140822,0,417062
2013,4065964,1581115,1124836,789016,268565,167840,0,436405
2014,4093564,1581710,1126635,797166,259367,181655,28924,469946
2015,4078714,1352398,1334668,797178,249080,190719,39032,478831
2016,4077574,1239149,1379271,805694,267812,226993,54866,549671
2017,4035443,1205835,1297703,804950,300333,254303,77277,631913
2018,4180988,1149487,1471843,807084,292524,272667,93365,658556
2019,4130574,964957,1588533,809409,287874,295882,106894,690650
2020,4009767,773393,1626790,789879,285274,337938,130721,753933
2021,4109699,897999,1579190,779645,251585,378197,164422,794204
2022,4230668,831512,1687065,771537,254789,434297,205074,894160
2023,4183271,675115,1806063,774873,245002,421141,238937,905080
